618,42,10,7,10,5,10,8,10,9,11,7,6,6,6,4,8,5,3,5,1,4,2,8,2,4,7,1,7,2,2,6,6,3,5,9,4,7,3,4,8,2,4,8,7,7,8,2,4,3,5,1,0,4,0,4,3,6,2,5,5,1,2,3,4,3,5,1,1,2,4,0,2,5,2,1,5,2,4,3,3,0,4,3,4,1,2,1,5,0,0,2,4,2,6,3,3,3,4,2
42,433,54,23,10,12,18,13,15,12,15,10,6,7,7,9,20,6,5,5,5,3,2,7,7,5,4,4,6,8,8,7,7,4,5,1,9,5,4,5,4,2,1,5,4,5,6,1,1,3,1,0,1,2,0,0,0,0,2,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,2,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,2,1,0
10,54,350,59,52,43,24,14,16,10,11,7,15,9,21,14,15,16,6,5,7,9,4,2,5,3,3,2,4,5,4,9,7,8,14,5,6,6,7,3,0,3,3,5,2,4,8,5,3,2,0,0,2,0,0,1,1,0,0,0,0,0,0,0,1,0,1,3,1,0,2,1,1,0,1,1,0,2,0,0,1,0,0,1,0,0,3,2,0,1,1,0,1,0,1,0,1,0,0,1
7,23,59,390,133,106,35,23,14,9,7,6,22,19,26,12,16,18,14,12,11,2,6,4,4,4,6,6,3,6,2,4,2,8,9,5,4,7,5,1,1,8,1,7,10,2,5,6,5,10,0,1,1,0,0,2,1,1,2,0,3,1,1,1,1,1,0,1,1,2,0,0,0,0,0,1,1,2,0,1,0,2,0,2,3,0,0,0,2,0,1,1,0,0,0,0,0,1,0,1
10,10,52,133,997,343,30,23,13,7,10,10,23,32,68,12,8,13,22,10,14,5,6,5,8,2,8,1,1,10,16,3,2,7,23,7,5,16,9,5,6,5,3,3,7,5,7,16,18,18,2,1,0,1,2,1,1,0,5,3,2,3,2,0,2,1,1,2,2,2,1,1,4,0,1,0,0,1,3,0,2,5,0,3,1,0,4,1,1,3,0,0,1,3,1,1,2,3,2,3
5,12,43,106,343,1000,85,58,15,5,6,15,38,24,59,29,16,16,23,9,10,7,9,3,4,4,3,4,4,11,18,8,4,7,24,12,3,6,9,5,1,5,10,5,5,1,9,12,22,24,1,2,2,1,1,2,1,1,2,1,0,0,2,2,4,2,3,3,0,4,0,2,3,1,2,2,0,3,3,6,3,1,3,2,4,0,0,0,0,1,3,1,1,1,2,2,1,1,5,2
10,18,24,35,30,85,848,167,71,38,36,40,40,27,16,20,30,14,15,16,16,13,10,9,4,9,5,9,5,10,14,10,4,8,7,12,10,12,11,6,9,12,13,8,16,9,9,15,6,4,0,1,0,3,0,1,2,1,0,4,1,1,1,0,0,2,3,2,0,0,0,2,0,0,2,2,0,4,3,0,2,0,0,0,2,2,2,1,1,1,3,2,2,2,1,2,0,2,0,0
8,13,14,23,23,58,167,976,216,51,42,35,38,30,30,26,21,13,22,21,12,15,16,10,7,9,13,4,5,14,11,5,5,11,18,8,8,11,11,4,7,3,13,10,12,12,9,14,8,8,2,1,2,1,0,1,0,0,1,2,1,3,2,2,2,0,3,1,4,4,0,3,2,4,3,2,3,1,0,3,3,4,1,1,2,0,1,1,3,1,1,1,0,1,3,2,2,3,0,0
10,15,16,14,13,15,71,216,1793,217,80,58,33,17,31,13,35,20,12,21,22,10,20,14,23,10,15,11,17,11,13,13,14,18,7,17,10,7,11,13,11,7,24,8,15,15,8,1,9,6,3,2,1,1,2,3,1,3,2,1,5,1,3,1,1,2,1,3,2,0,2,1,1,3,2,6,1,3,0,1,2,2,2,4,1,1,1,5,4,3,5,6,3,2,4,3,2,4,2,3
9,12,10,9,7,5,38,51,217,859,237,79,25,7,11,24,36,14,17,14,14,13,7,15,6,17,19,9,6,8,8,11,8,14,7,7,9,6,6,13,13,8,14,12,10,7,8,6,3,1,0,2,0,1,1,0,0,2,1,1,2,2,1,3,1,2,0,0,0,2,3,0,0,0,1,2,0,1,3,5,2,3,3,0,2,0,1,2,0,1,1,0,0,1,3,1,0,1,3,3
11,15,11,7,10,6,36,42,80,237,1122,165,42,25,28,22,30,11,18,21,22,10,6,14,17,11,10,14,6,9,13,6,13,14,3,10,12,12,8,13,13,3,7,8,8,4,16,3,5,4,1,1,0,1,2,0,1,1,4,0,2,0,2,1,0,2,5,1,6,1,0,1,1,1,1,2,3,5,4,0,1,0,2,0,2,0,2,2,1,3,0,0,3,1,3,5,3,0,2,1
7,10,7,6,10,15,40,35,58,79,165,843,139,62,39,25,46,25,22,22,11,15,9,7,7,8,17,12,8,11,9,9,12,7,9,6,12,16,5,10,7,7,19,14,10,9,10,5,6,3,0,0,1,0,0,3,1,3,2,0,1,2,1,0,0,0,0,1,2,2,3,1,3,1,1,1,5,7,2,1,0,2,0,2,1,1,0,2,0,6,1,0,0,1,1,3,3,3,0,1
6,6,15,22,23,38,40,38,33,25,42,139,1165,387,120,78,54,35,38,35,19,23,16,12,8,13,12,3,11,12,29,11,10,19,29,11,9,17,13,7,2,11,13,10,10,7,14,18,10,11,1,1,2,4,2,3,3,2,1,3,2,1,6,5,1,1,0,3,2,1,1,1,2,2,2,2,2,3,0,1,3,0,0,0,1,4,4,3,2,3,0,2,3,3,6,3,2,0,0,0
6,7,9,19,32,24,27,30,17,7,25,62,387,928,250,81,43,25,41,21,27,8,14,13,7,8,5,5,7,19,19,7,3,17,30,12,7,17,9,9,6,10,12,6,8,5,8,6,8,9,2,1,3,0,2,1,1,2,1,0,4,0,3,3,0,1,3,0,1,1,1,3,1,2,0,2,2,0,2,3,2,3,3,4,0,2,0,3,1,1,0,0,2,2,0,2,0,2,3,2
6,7,21,26,68,59,16,30,31,11,28,39,120,250,1517,208,74,40,42,22,33,24,14,8,12,8,18,9,9,17,29,9,6,19,41,16,18,21,14,7,4,13,15,10,11,9,3,22,23,14,2,2,5,1,3,4,2,2,4,4,0,1,3,5,4,5,1,3,4,4,2,1,1,5,5,4,0,3,2,4,3,4,0,3,2,0,1,4,3,3,1,4,1,1,3,3,1,3,0,1
4,9,14,12,12,29,20,26,13,24,22,25,78,81,208,916,169,47,32,28,19,11,15,16,12,10,8,9,6,21,20,13,10,16,22,13,14,13,9,14,8,10,10,8,10,8,14,12,11,11,0,1,1,2,3,3,1,2,1,0,2,3,2,1,1,0,0,1,2,3,3,1,2,0,2,1,3,1,2,1,0,3,2,1,0,0,2,2,1,2,0,0,2,2,1,3,2,2,1,0
8,20,15,16,8,16,30,21,35,36,30,46,54,43,74,169,1341,320,68,52,40,64,21,32,22,21,28,17,20,32,18,13,17,17,10,28,14,16,19,11,12,16,14,9,16,15,12,15,10,6,0,0,1,0,2,3,1,0,4,1,0,2,1,3,0,2,1,3,4,2,1,2,2,4,0,1,5,5,2,5,3,1,2,2,2,3,3,4,1,1,3,2,4,3,3,4,4,1,3,2
5,6,16,18,13,16,14,13,20,14,11,25,35,25,40,47,320,713,172,86,56,46,20,22,18,19,18,7,12,18,18,19,11,15,31,14,19,19,10,6,10,10,17,9,11,13,9,10,7,4,2,1,0,2,1,0,1,1,0,0,1,0,1,2,0,0,0,1,1,1,1,1,3,1,1,1,2,2,1,2,2,3,1,1,1,0,4,1,3,3,0,1,1,0,2,3,1,0,1,0
3,5,6,14,22,23,15,22,12,17,18,22,38,41,42,32,68,172,948,156,80,31,38,21,13,14,11,13,11,30,32,13,12,12,27,20,16,19,15,10,8,9,13,5,13,9,3,9,14,10,1,0,2,2,1,0,0,0,2,3,1,3,5,0,1,1,1,2,1,1,3,5,2,1,1,0,1,2,1,1,1,0,0,0,2,0,1,0,3,1,1,3,3,1,4,1,1,2,1,0
5,5,5,12,10,9,16,21,21,14,21,22,35,21,22,28,52,86,156,1155,178,63,42,26,21,20,17,16,18,26,31,26,11,17,14,16,25,21,14,14,12,13,22,13,14,16,9,7,4,7,0,1,1,0,1,2,2,3,3,7,0,0,1,1,0,1,2,2,1,1,0,1,2,1,3,2,0,3,3,0,1,2,4,1,1,0,0,2,1,1,0,1,3,1,6,2,2,1,2,3
1,5,7,11,14,10,16,12,22,14,22,11,19,27,33,19,40,56,80,178,1141,221,101,35,25,24,28,20,11,27,34,21,12,23,32,21,27,18,17,12,15,11,9,8,11,14,9,8,8,4,0,0,2,1,3,2,2,1,2,3,0,3,0,3,2,0,2,2,2,0,1,0,3,0,4,2,3,4,4,1,1,0,1,0,1,1,3,5,5,0,2,2,1,2,0,6,3,4,7,3
4,3,9,2,5,7,13,15,10,13,10,15,23,8,24,11,64,46,31,63,221,1412,231,83,39,46,41,20,16,28,15,16,18,22,17,19,15,20,17,19,17,17,11,9,8,11,12,3,3,4,1,3,0,2,0,1,0,0,1,1,2,5,2,3,0,4,2,3,1,2,2,2,1,1,6,2,3,4,3,2,1,2,5,2,1,0,0,2,1,0,1,4,2,4,2,2,2,2,2,0
