0,657,76,28,14,23,59,86,67,66,55,54,22,20,27,24,6,24,34,49,24,12,19,19,31,29,20,40,40,33,30,9,11,6,6,15,4,10,18,11,9,9,4,8,8,6,4,10,4,2,7,7,5,6,4,4,2,2,2,7,15,22,7,24,10,15,8,13,16,7,9,4,4,9,6,4,7,9,19,27,10,9,6,6,1,2,2,0,1,990,218,18,11,4,3,2,1,2,2,11,14,9,5,5,2,2,12,19,16,4,3,1,1,3,3,2,1,9,4,2,4,12,18,7,1
657,0,198,56,28,45,96,99,74,71,80,65,17,38,34,35,20,31,46,52,35,28,28,32,33,36,35,33,45,36,41,15,14,13,6,14,8,15,14,15,16,10,7,8,17,5,5,3,6,3,3,6,3,7,3,2,2,8,1,10,18,25,12,16,15,20,12,21,16,16,9,6,5,4,7,16,8,10,14,21,16,11,16,1,4,3,4,3,0,456,34,8,2,1,5,3,1,1,2,4,3,8,1,1,2,2,2,5,4,7,0,0,4,2,2,2,1,3,0,2,0,7,6,3,1
76,198,0,208,99,94,85,42,21,14,30,25,47,21,21,27,31,30,18,10,37,21,16,14,17,8,18,13,10,7,17,37,22,27,18,21,19,17,9,19,20,14,9,9,14,15,9,9,11,14,9,7,12,12,5,7,13,10,13,14,10,7,19,11,4,9,6,3,4,7,12,7,11,13,4,9,9,18,19,11,6,18,5,15,7,4,7,4,3,26,11,3,5,0,3,3,1,0,2,6,3,2,5,3,1,1,2,4,2,2,1,0,0,5,2,2,2,2,1,2,3,4,5,5,1
28,56,208,0,396,121,78,30,17,15,22,21,30,27,23,30,18,22,21,12,24,20,8,18,11,15,22,12,14,9,19,24,21,23,13,15,13,14,16,8,23,13,12,17,14,12,11,11,16,14,18,4,16,10,3,6,13,12,9,11,6,8,11,7,9,9,8,6,7,10,8,11,24,15,18,12,7,12,11,9,3,18,7,12,10,9,2,6,3,18,6,3,2,0,1,2,3,1,0,3,3,3,4,2,0,1,4,4,8,6,2,0,1,3,2,3,1,6,2,2,4,3,1,5,1
14,28,99,396,0,277,42,16,11,10,19,17,32,27,14,31,28,19,10,7,17,10,8,12,6,2,15,7,6,11,7,18,14,17,14,13,21,12,11,18,8,12,10,8,12,22,22,7,10,15,11,10,7,12,14,8,12,8,12,9,4,7,3,4,2,3,6,2,1,8,11,12,14,12,18,7,14,11,9,7,3,12,2,17,10,7,3,6,7,6,0,3,3,2,1,2,1,1,1,1,5,2,2,3,2,8,6,4,1,3,5,3,3,6,3,2,1,2,2,4,1,3,0,2,4
23,45,94,121,277,0,168,39,14,15,37,26,45,26,16,36,34,25,13,10,23,22,13,7,6,12,24,11,10,11,12,29,23,24,11,18,17,14,7,9,14,10,11,10,8,17,6,13,15,12,6,7,12,14,11,5,11,12,10,12,3,6,13,13,10,9,6,2,4,9,9,10,17,7,9,9,12,10,10,5,11,14,6,10,6,8,3,3,3,12,1,5,4,2,1,3,2,2,5,4,3,5,5,1,1,2,2,3,1,10,2,2,1,1,1,1,3,1,2,2,2,7,0,2,2
59,96,85,78,42,168,0,218,105,90,115,95,82,65,48,56,29,53,44,44,46,35,31,31,29,21,40,28,27,29,27,22,17,21,15,23,12,12,19,19,17,18,14,24,12,5,10,12,8,6,5,7,13,5,6,9,4,6,7,9,10,20,18,21,25,10,10,16,14,23,14,16,4,7,4,9,9,10,12,25,8,14,8,7,6,4,4,5,0,33,8,2,0,1,0,2,1,0,0,3,3,7,0,4,1,1,2,4,1,2,3,2,4,2,3,4,0,1,3,1,2,3,1,1,1
86,99,42,30,16,39,218,0,363,239,149,122,29,32,55,33,12,29,66,52,36,26,32,43,32,51,35,46,48,44,45,9,9,11,12,10,5,9,9,6,7,9,11,13,12,2,6,6,5,2,4,5,8,7,5,1,3,0,2,6,13,23,15,13,31,18,15,15,20,12,6,11,3,4,2,7,4,7,13,26,17,8,18,4,0,2,1,0,2,50,10,2,1,0,3,0,1,1,2,5,4,3,3,2,1,0,5,6,4,6,2,0,1,1,1,2,3,1,2,1,1,4,4,0,3
67,74,21,17,11,14,105,363,0,356,170,100,31,41,57,33,16,34,65,60,32,33,36,27,49,44,17,52,43,55,39,9,16,7,9,12,3,11,5,9,8,11,10,12,12,5,3,3,7,8,4,7,2,10,3,3,2,1,2,9,17,22,12,15,18,20,18,18,14,10,12,5,5,3,2,2,7,4,14,18,8,5,8,6,1,1,0,2,1,30,7,2,3,0,0,0,2,0,0,4,3,2,2,0,2,2,2,3,4,2,0,2,0,0,2,1,2,1,1,2,3,3,0,1,1
66,71,14,15,10,15,90,239,356,0,237,154,27,32,44,42,7,28,42,66,40,15,26,35,39,39,30,42,56,37,55,6,4,7,11,17,4,8,7,12,11,7,9,12,17,1,7,6,5,2,5,3,3,16,2,3,5,5,5,5,18,13,14,23,11,27,18,20,23,11,6,8,3,1,6,9,5,5,7,14,12,3,9,3,4,1,2,0,1,32,9,3,0,0,1,1,0,0,0,3,3,1,1,2,0,3,5,7,5,1,1,0,1,2,1,2,1,0,2,1,1,4,1,4,1
55,80,30,22,19,37,115,149,170,237,0,394,123,69,89,64,21,46,60,57,43,29,39,34,33,35,53,46,49,44,33,19,14,13,8,11,7,13,8,6,15,13,13,17,20,9,4,9,17,6,5,7,6,11,6,4,5,12,0,8,20,21,15,16,12,10,21,24,20,20,12,8,11,6,8,4,6,12,14,23,21,7,14,4,6,3,3,2,1,36,10,1,4,0,0,1,1,0,0,4,2,2,2,0,0,1,3,4,3,2,0,2,1,0,2,2,1,1,4,1,3,2,3,4,0
