L3-L4	L2-L4	L2-L3
1.76	2.34	0.74
1.38	2.32	1.76
1.45	0.98	0.87
2.04	1.28	1.84
2.07	0.86	1.51
0.43	1.42	1.52
3.95	0.56	3.62
0.96	0.53	1.19
1.74	0.67	1.57
1.72	2.93	1.99
2.85	2.95	2.92
4.36	2.05	3.39
1.41	0.81	2.11
1.43	0.75	1.82
2.76	2.66	2.3
2.44	3.5	1.68
2.19	1.61	1.72
2.1	1.11	1.18
1.89	4.03	2.95
1.56	1	1.2
1.38	1.16	1.37
1.72	2.08	3.04
4.28	1.14	4.05
1.66	0.86	2.31
1.41	1.31	2.22
2.02	2.38	1.15
1	1.26	1.74
2.12	1.75	2.56
1.11	0.85	1.56
0.76	0.87	1.31
1.4	2.11	2.74
2.16	0.52	1.83
1.37	0.39	4.27
1.89	0.76	1.45
2.77	1.44	3.33
1.14	1.34	2.15
2.95	0.65	3.3
1.36	1.73	1.88
1.86	0.65	2.08
3.13	1.42	3.43
3.4	1.25	4.08
1.68	1.45	2.69
1.36	3.64	3
1.57	2.21	0.82
1.78	1.13	1.86
2.07	0.34	2.36
1.14	1.46	1.55
1.01	0.45	0.98
3.99	2.31	2.62
1.26	2.05	1.39
2.35	2.91	0.84
1.94	0.79	1.22
1.45	0.88	1.77
0.6	0.71	0.85
0.42	0.39	0.27
1.53	1.07	1.77
1.13	0.21	1.11
1.28	0.91	1.88
0.73	0.83	0.45
2.73	1.33	2.87
2.8	1.96	1.89
2.24	1.14	1.38
2.29	1.31	2.22
3.12	4.66	2.43
1.28	1.26	1.8
1.62	1.04	2.26
1.41	1.83	1.28
0.88	0.73	1.54
4.99	1.77	3.35
4.03	0.68	3.37
1.39	2.41	1.61
1.61	2.74	1.34
2.19	1.29	1.28
1.68	2.76	1.43
3.48	1.26	2.45
1.74	2.21	1.96
1.52	0.36	1.74
1.09	1.52	1
1.72	0.55	1.95
3.54	0.49	3.95
2.34	0.77	3.01
1.42	0.9	1.52
0.98	1.15	0.97
1.3	0.96	1.43
2.56	1.6	1.52
2.65	2.45	3.14
1.11	0.86	1.98
2.52	1.02	2.77
2.09	1.02	1.71
2.02	0.71	2.5
0.5	0.55	0.86
1.66	1.1	1.87
1.31	1.29	2.39
1.18	0.64	1.75
1.47	1.15	0.69
1.91	2.47	1.11
2.89	2.06	2.7
2.74	1.29	2.36
1.29	0.7	1.37
2.54	1.63	1.55
1.77	1.09	2.61
1.66	1.58	2.27
1.1	0.32	1.14
