L5-L7	L5-L6
0.33	0.28
0.35	0.47
0.38	0.48
0.42	0.49
0.5	0.52
0.5	0.53
0.53	0.54
0.58	0.56
0.58	0.58
0.6	0.62
0.64	0.63
0.66	0.65
0.67	0.69
0.67	0.71
0.67	0.72
0.72	0.72
0.76	0.73
0.77	0.75
0.77	0.8
0.78	0.84
0.81	0.87
0.82	0.87
0.82	0.9
0.83	0.91
0.86	0.91
0.87	0.93
0.87	0.94
0.88	0.95
0.89	0.95
0.9	0.95
0.91	1
0.91	1.01
0.92	1.02
0.92	1.04
0.97	1.04
0.98	1.04
0.98	1.05
1.01	1.06
1.02	1.1
1.03	1.15
1.04	1.15
1.04	1.16
1.05	1.19
1.09	1.21
1.11	1.24
1.13	1.25
1.13	1.25
1.13	1.28
1.15	1.28
1.17	1.28
1.18	1.29
1.2	1.3
1.25	1.3
1.26	1.32
1.29	1.32
1.3	1.34
1.37	1.37
1.38	1.38
1.38	1.39
1.38	1.44
1.39	1.49
1.41	1.49
1.42	1.49
1.45	1.5
1.51	1.52
1.53	1.55
1.53	1.59
1.53	1.6
1.54	1.62
1.56	1.63
1.58	1.65
1.59	1.66
1.59	1.66
1.61	1.7
1.7	1.7
1.72	1.71
1.73	1.72
1.81	1.72
1.82	1.73
1.83	1.74
1.87	1.76
1.9	1.77
1.91	1.81
1.94	1.82
1.94	1.9
1.98	1.93
1.98	1.93
1.98	1.94
1.99	1.98
2.01	1.99
2.04	2.04
2.08	2.06
2.08	2.06
2.24	2.09
2.25	2.09
2.27	2.1
2.28	2.13
2.3	2.27
2.38	2.48
2.74	2.48
2.84	2.66
3.18	2.73
3.61	3.12
